Japanese,English
の,of
に,to
を,of
は,teeth
年,year
が,but
た,Ta
で,in
て,hand
と,and
し,death
月,month
日,day
れ,Re
さ,difference
者,person
する,do
も,too
ます,Masu
利用,use
こと,thing
ある,be
いる,There is
な,Na
から,from
い,stomach
ない,do not have
ページ,page
第,No.
へ,fart
や,or
日本,Japan
として,as
です,is
か,mosquito
会話,conversation
削除,delete
この,this
市,city
県,prefecture
れる,be able to
あり,can be
ん,yeah
よう,Yo
ため,Because
的,target
編集,edit
ください,please
人,people
という,That's called
など,etc.
依頼,request
なっ,What?
名,given name
版,edition
でき,Can be done
ませ,Let's not
リンク,link
駅,station
記事,article
‐,-
について,About
う,cormorant
その,the
もの,thing
投稿,Post
ば,Ba
町,town
まし,Better
なる,Become
場合,case
あっ,Ah
ノート,notes
号,issue
方針,policy
回,times
さん,Mr. Miss.
まで,to
だ,is
中,Medium
ので,So
一,one
放送,broadcast
後,rear
おり,cage
人物,person
署名,signature
本,book
において,in
家,house
られ,Rare
また,Also
選手,player
お,oh
活動,activity
東京,Tokyo
画像,image
会,Association
学校,school
映画,movie
時,time
情報,information
性,sex
部,Department
より,twist
案内,guidance
質問,question
区,Ward
ご,Go
大,large
上,above
紹介,introduction
作成,create
日本語,Japanese
これ,this
位,rank
国,country
二,two
一覧,List
作品,the work
ようこそ,welcome
議論,discussion
使用,use
村,village
出典,source
世界,world
テレビ,tv set
による,by
州,state
なり,become
三,three
問題,problem
昭和,Showa era
線,line
郡,county
番組,program
ファイル,file
脚注,footnote
賞,award
なく,Without
なら,If
自己,self
話,story
ず,figure
により,by
分,minutes
前,before
代表,representative
たら,Tara
せ,height
化,transformation
平成,Heisei
に関する,related to
できる,can
出身,Birthplace
仮,tentative
スタイル,style
ガイドライン,guidelines
思い,thought
方,direction
外部,external
数,number
五,Five
内容,Content
児童,children
関連,connection
ヘルプ,help
現在,the current
時代,era
元,Former
それ,that
研究,the study
新,new
注意,Note
他,others
金,gold
局,station
機能,function
あなた,you
除去,removal
鉄道,railway
項目,item
】,]
【,[
目,eye
とき,time
用,for
曲,song
社,company
使い方,How to use
必要,need
説明,explanation
基本,basic
によって,by
大学,university
変更,change
水,water
新しい,new
チーム,team
執筆,writing
